NAME	Memory CD4 T	B	CD14+ Mono	NK	CD8 T	Naive CD4 T	FCGR3A+ Mono	DC	Platelet
CHAF1A	1	1	1	1	1	1	1	24.1285400730629	1
CHCHD1	1	1	66.2676791640536	1	106.501769100363	148.55832199971	88.8015904181534	77.5750795673296	309.533420970691
CHCHD10	176.029552584897	368.749400511888	183.233091573535	1	188.533137099723	209.319295538905	454.277947843236	256.987215385921	80.8984061497788
CHCHD7	20.7327457877389	26.6501933431295	1	1	25.2144949853031	23.2793251175662	1	8.56126639947894	1
CHD2	1	26.8425260994645	1	1	1	22.0663324047824	1	13.4938848699487	1
CHD4	1	1	1	1	1	1	1	20.7460474029346	1
CHI3L2	1	58.1589959896202	1	1	1	1	1	1	1
CHIC2	83.0353917328892	1	120.690280631156	131.184216809927	1	1	44.8174054751576	104.636169990534	132.097742713576
CHMP1A	1	1	1	41.6609279038662	1	1	1	1	1
CHMP2B	52.403910029294	65.2560756090862	1	1	53.4311053492477	1	42.7971625407093	34.1748736576877	1
CHMP3	44.0984565904417	44.5155370528349	26.302006658348	1	33.2386686851029	31.8319028036395	44.3833451674873	1	1
CHMP6	1	1	1	1	104.196518076048	1	35.1685004825383	1	603.252773569031
CHPT1	1	55.4502782546343	28.076970222934	1	1	1	29.5646676599798	39.9003072357785	1
CHST12	99.8801989779623	1	1	495.167959826112	261.036746133185	1	1	99.0533942912759	150.90920015411
CHST2	1	1	1	168.112360861564	1	1	76.4418569287265	1	141.996594528111
CHST7	1	1	1	1	1	1	65.4529479339378	1	1
CHTOP	1	1	1	46.7862681473292	34.4462364746733	1	14.77335362859	22.0018537752799	1
